gx,gy,gz,ax,ay,az,time,gesture_type,timestamp
0,0,0,0,0,0,34:26.5,tv-poke-00,141.9
0,0,0,0,0,0,34:26.5,tv-poke-00,141.95
0,0,0,0,0,0,34:26.5,tv-poke-00,142
0,0,0,0,0,0,34:26.5,tv-poke-00,142.05
0.445632964,-0.406537712,-0.387717426,-0.012153213,0.534556329,0.995173991,34:27.1,tv-poke-01,142.1
0.169308588,-0.145192027,-0.387717426,-0.08300852,0.523479819,1.000919104,34:27.1,tv-poke-01,142.15
0.169308588,-0.145192027,-0.387717426,-0.08300852,0.523479819,1.000919104,34:27.2,tv-poke-01,142.2
0.38334018,-0.413797289,0.765822053,-0.100894332,0.903772891,0.851085722,34:27.3,tv-poke-01,142.25
-0.092640549,0.145192027,0.568759024,0.022930484,0.60447669,0.779845953,34:27.3,tv-poke-01,142.3
-0.405701697,0.036298007,0.483845711,-0.013070433,0.393561751,0.729978085,34:27.4,tv-poke-01,142.35
-0.541468024,-0.526321113,-0.205073684,0.031185472,-0.359409302,0.985981762,34:27.4,tv-poke-01,142.4
-0.886474192,0.054447014,-0.147396713,0.005732594,-0.421945363,0.987590432,34:27.5,tv-poke-01,142.45
-0.886474192,0.054447014,-0.147396713,0.005732594,-0.421945363,0.987590432,34:27.5,tv-poke-01,142.5
-0.188475594,0.127043024,-0.067289799,-0.035542343,-0.612553418,1.136044979,34:27.6,tv-poke-01,142.55
0.030347764,0.117968529,0.092924014,-0.039440531,-0.589708149,1.106170177,34:27.6,tv-poke-01,142.6
0.327436417,0.134302631,0.570361197,0.097454675,-0.340486944,0.975870311,34:27.7,tv-poke-01,142.65
0.364173174,-0.152451634,0.55113554,0.119238675,-0.1032653,0.866023123,34:27.7,tv-poke-01,142.7
0.364173174,-0.152451634,0.55113554,0.119238675,-0.1032653,0.866023123,34:27.8,tv-poke-01,142.75
0.405701697,-0.413797289,0.408545226,0.104333833,0.041882962,0.829943597,34:27.8,tv-poke-01,142.8
0.126182809,0.724145293,-0.209880099,-0.086906709,0.080881462,1.002527714,34:27.9,tv-poke-01,142.85
-0.118196562,0.934673727,-0.320427626,-0.015592791,0.530171871,0.909226596,34:27.9,tv-poke-01,142.9
-0.314658403,0.941933334,-0.464620054,-0.020178895,0.817699313,0.866482735,34:28.0,tv-poke-01,142.95
-0.012778006,0.457354903,-0.69693011,0.010548003,0.918541551,1.122026801,34:28.0,tv-poke-01,143
0.490355998,-0.04718741,-0.309212655,-0.079110332,0.605168998,1.05193603,34:28.1,tv-poke-01,143.05
0.533481777,-0.045372512,-0.208277956,-0.08598949,0.555324793,1.032632351,34:28.1,tv-poke-01,143.1
0.654872835,-0.395648301,0.289986998,-0.067415766,0.319718421,0.889922917,34:28.2,tv-poke-01,143.15
0,0,0,0,0,0,34:29.0,tv-poke-01,143.2
0,0,0,0,0,0,34:29.0,tv-poke-01,143.25
0,0,0,0,0,0,34:29.0,tv-poke-01,143.3
0,0,0,0,0,0,34:29.0,tv-poke-01,143.35
0,0,0,0,0,0,34:29.0,tv-poke-01,143.4
0,0,0,0,0,0,34:29.0,tv-poke-01,143.45
0,0,0,0,0,0,34:29.0,tv-poke-01,143.5
0,0,0,0,0,0,34:29.0,tv-poke-01,143.55
0,0,0,0,0,0,34:29.0,tv-poke-01,143.6
0,0,0,0,0,0,34:29.0,tv-poke-01,143.65
0,0,0,0,0,0,34:29.0,tv-poke-01,143.7
0,0,0,0,0,0,34:29.0,tv-poke-01,143.75
0,0,0,0,0,0,34:29.0,tv-poke-01,143.8
0,0,0,0,0,0,34:29.0,tv-poke-01,143.85
0,0,0,0,0,0,34:29.0,tv-poke-01,143.9
0,0,0,0,0,0,34:29.0,tv-poke-01,143.95
0,0,0,0,0,0,34:29.0,tv-poke-01,144
0,0,0,0,0,0,34:29.0,tv-poke-01,144.05
0.501536727,-0.192379445,-0.538318396,-0.023618473,0.596400082,1.078593493,34:29.6,tv-poke-02,144.1
0.100626804,-0.303088367,0.581576169,-0.141481355,0.774085581,1.077214718,34:29.6,tv-poke-02,144.15
0.38334018,-0.324867189,0.648865938,-0.038064703,0.808699608,1.024589062,34:29.7,tv-poke-02,144.2
0.253962874,-0.058076814,0.301201969,-0.055950508,0.634937108,0.858669341,34:29.7,tv-poke-02,144.25
